reportingEntityId,counterypartyId,name,dateOfBirth/Incoporation,caste,community,pan,aadhaar,din,cin,lei,tan,gstin,udyogAadhaar,typeOfOrganisation,borrowerCategory,nicCode,occupationCode,addressLine1,addressLine2,addressLine3,pinCode,stateCode,districtCode,countryCode,telephoneNumber,mobileNumber,emailAddress
084188285,72926,1221 Singh Island,
682,3941,21175 Gandharva Curve,
881831800,25474,20093 Talwar Parkway,
54861,017,870 Dutta Neck,
6662,55582,1475 Arnesh Course,
82615,318,77027 Gill Dale,
688215741,171,49601 Bhargavi Park,
0461,889,865 Ahuja Fall,
694561315,6406,3988 Dwivedi Ferry,
088600642,257,97498 Acharya Fort,
749820415,50853,15240 Himadri Greens,
7482,75460,9641 Prema Drive,
447667406,011,607 Ranjit Trace,
520726005,9840,5162 Bilva Springs,
050901660,26136,691 Johar Hills,
081466817,9111,42185 Divaakar Island,
827520617,32896,542 Vedanga Drive,
485,1706,23618 Shakti Village,
274774201,7824,45196 Kalpana Circles,
329710934,0456,38910 Acharya Rest,
127807066,54571,63087 Khanna Crossroad,
9865,8029,3293 Kin Lake,
623101579,167,437 Susheel Dam,
537,0978,68244 Banerjee Tunnel,
660266790,6533,7629 Ghanashyam Roads,
424760086,38823,87298 Banerjee Mountain,
9533,421,1946 Chaten Crossroad,
75860,00183,98434 Bandhu Mount,
217828575,695,6033 Jain Viaduct,
930578133,0258,39834 Mishra Meadows,
706931335,406,99336 Prajapat Plains,
516081276,7342,417 Khanna Passage,
462358178,4007,322 Goswamee Estate,
255744898,11222,801 Darshwana Cape,
361521785,297,2648 Varrier Roads,
692300865,90278,759 Meena Mill,
634350487,815,4149 Sher Mills,
52585,690,89945 Naik Radial,
4620,408,98492 Bala Turnpike,
165103769,7168,583 Nair Circles,
170212376,54862,90017 Nair Groves,
8385,06003,8268 Chitrangada Bypass,
050,4779,941 Agrata Flats,
625345440,916,4811 Verma Mill,
012777527,6603,2508 Khatri Prairie,
14533,4624,06976 Patil Ranch,
253751550,3902,66190 Deepesh Squares,
32273,2963,824 Jitender Wall,
697736929,55207,927 Dwivedi Point,
8122,5663,7871 Malik Tunnel,
244922133,40933,1399 Nikita Stravenue,
288665636,4451,17623 Triloki Nath Mountain,
235,659,3641 Deependra Island,
271949282,515,988 Pilla Glens,
844,84713,598 Ahuja Causeway,
8634,85873,0337 Chandraswaroopa Flats,
392082440,2872,0158 Vedanga Corner,
27116,224,1682 Tara Mountains,
584278766,9317,680 Anwesha Lake,
239295069,560,70450 Devar Burg,
720372305,7997,10702 Asan Mall,
464894166,59191,773 Butt Spur,
148283612,905,19495 Rageshwari Union,
54417,236,09560 Bhagwanti Center,
656,260,55496 Divaakar Street,
366,7857,7075 Desai Crossing,
22375,731,821 Guneta Station,
668016146,380,3008 Gauraang Inlet,
186,3682,6701 Khan Mountain,
065422552,8344,98197 Pothuvaal Common,
543484085,357,01584 Prasanna Flats,
17575,26611,249 Deshpande Parks,
161986976,356,01937 Pilla Springs,
7853,240,00453 Mukhopadhyay Roads,
297,906,4034 Anusuya Mission,
469827663,96325,945 Pandey Cliffs,
052,071,2407 Tapan Junctions,
784117072,7355,746 Shah Lake,
9873,4417,5672 Mehrotra Extension,
479034938,35336,19489 Ganaka Shore,
31361,938,345 Menon Radial,
667404608,1848,8695 Shah Field,
154,15072,89634 Rohana Stream,
856245214,121,940 Bhaves Lodge,
01942,2613,145 Indra Squares,
05150,39179,72708 Digambara Vista,
685,3242,1335 Niro Canyon,
6548,1360,65550 Verma Fort,
026,08645,70712 Shrishti Fort,
979074186,4278,6790 Dhanu Square,
416,91837,3992 Dwivedi Vista,
362,88178,3584 Kapoor Harbor,
416038010,15683,7551 Trivedi Lock,
418284075,64809,83054 Goutam Station,
20558,177,798 Ganak Corner,
4157,962,8556 Suma Burgs,
510512052,95093,0990 Jyotis Crescent,
16721,180,43874 Chetan Spurs,
51793,8304,018 Asan Station,
664018838,8386,468 Dubashi Estate,
